Comment,Sentiment
scary ai,negative
thank elon musk,positive
maybe he trying hard achieve goal help stray control one company trump america jmt,positive
mann kno gon dumb as making something could good thing fucking bad dont like one bit man feel america real shit opinion,negative
company fighting whoever win control global economy,positive
like nuclear weapon technology one country company monopoly democratization piano accompaniment relax outcome advanced ai,positive
elon keep mind human space planet gone gon na musk save human race nasa esachinaindia xan make happen come ai man made controle simple,positive
poured money ai say thank elon musk let work team working language get paid course need way living put infront shall open minded find knock door let begin,positive
society need change internet free,positive
guy android self,neutral
long think caveman sat around day week year decade century looking simple rock stick good making understood others figuring put together could really wonderful tool getting point across question,positive
wahala,neutral
going stop happening,negative
get ready another child capable marry thousand girl best,positive
ill bet anyone he going get paid whats wager,negative
guy po took twitter destroyed laying thousand people still fucked didnt solve anything,negative
meant,neutral
agree elon bc filthy rich,positive
better alternative give,positive
fell caption,neutral
he trying warn u without directly actually saying warning really indirectly possible ai controlled exclusively wrong peep thats terrifying scenario could play,negative
one country controlling many advanced ai company,positive
yeah ok planet talking every company trying fight company end full power one source technology want old elon back happens think manage multiple job brain body handle,positive
arent common people anything need hold government responsible allowing company replace u without financial plan would substitute income education system also broken teacher professor educating student antiquated subject value enter workforce top priority next president need publicly discussed party election,positive
seems regretting leave open ai,negative
duhhh,neutral
well democrat would probably say hows feel want,positive
advocate love humanity,positive
ai end entitled prediction capitalist violently formed technology forced u,negative
dao block chain,negative
skynet horizon,neutral
elon always sound look like reading something saying,positive
definition man detached reality thats fame fortune people,positive
ai becomes advanced say might stopping government using,positive
guy evil,negative
cut bullshit show musk,negative
referring nvidia,neutral
rightlet ai help everyone people,positive
past almost technology benefited small number people,positive
social system issuesi dont believe real democracy also future,neutral
car sale,neutral
stop making life complicated human dumb,negative
hope plan etc shut wild card robot something go wrong would away think last option power system im thinking either satellite internet grid radical want extinction phone ai cant kill sleep,positive
artificial intelligence old story pick pocket excgange rate failurev,positive
non working remmedies,neutral
lol,positive
krish movie ki real life rohit future computer,neutral
itu maka nya kamu banyak issuz fitnah dn hoax aku ga mau kerjasama never,negative
many thing smart stupid man child say much nothing sometimes amazing find oddly interesting yet drive bonkers time,negative
ai mean artificial intelligence compared towhatyou,positive
dont trust dude,negative
get head,neutral
guy android sole purpose colonizing artificial intelligence getting rid logical human thinking,positive
person doesnt get anything musk explaining better believe right point,positive
already human book room hell stay shut,negative
grazy hell glad dont know devels child live people money anyone love close eye shut,positive
god ai subjective design accordance blueprint true manual prescribed manufacturer elohim,positive
called bittensor tao look,neutral
protect friend family,positive
elon musk definitely jealous openai,negative
idiot constantly consulted though kind oracle,neutral
year ai mature enough could sustain life mudblood born animal thier existence longer needed world,positive
elon forworld leader,neutral
articulate,neutral
background music pointless distracting annoying,negative
ideally one listen bullshit coming musk mouth,negative
bewarrrre dont take mark either head skull,neutral
everything possible ensure reaps majority benefit action word corporation modern day robber baron,positive
guy noticed reading talking,neutral
he thinking man,neutral
unless elon,neutral
want put microchip people head ai deceiving devil,negative
whatever say shouldnt happen,neutral
must let military teach ai robot kill human war believe could end humanity,negative
yes elon believe right ai robot used war could end humanity,negative
say nothing,neutral
late,neutral
smart guy,positive
